route_id,agency_id,valid_from,valid_to,source,confidence,region
us:adrian_and_blissfield_rail_road_company,us:adrian_and_blissfield_rail_road_company,18400101,,RRMMA NAME field,low,
us:agricultural,us:agricultural,18610101,,RRMMA NAME field,high,
us:agusta_and_savanna,us:agusta_and_savanna,18400101,,RRMMA NAME field,high,
us:alabama_and_florida,us:alabama_and_florida,18400101,,RRMMA NAME field,high,
us:alabama_and_mississippi_rivers,us:alabama_and_mississippi_rivers,18610101,,RRMMA NAME field,high,
us:alabama_and_tennesee_rivers,us:alabama_and_tennesee_rivers,18610101,,RRMMA NAME field,high,
us:alabama_and_tennessee_river,us:alabama_and_tennessee_river,18610101,,RRMMA NAME field,high,
us:albany_and_vermont,us:albany_and_vermont,18400101,,RRMMA NAME field,high,
us:alexandria_and_cheyneyville,us:alexandria_and_cheyneyville,18400101,,RRMMA NAME field,high,
us:alexandria_and_leesburg,us:alexandria_and_leesburg,18610101,,RRMMA NAME field,high,
us:allegheny_valley,us:allegheny_valley,18550101,,RRMMA NAME field,high,
us:alton_and_east_st_louis,us:alton_and_east_st_louis,18550101,,RRMMA NAME field,high,
us:amherst_belchertown_and_palmer,us:amherst_belchertown_and_palmer,18500101,,RRMMA NAME field,high,
us:androscoggin,us:androscoggin,18500101,,RRMMA NAME field,high,
us:annapolis_and_elkridge,us:annapolis_and_elkridge,18450101,,RRMMA NAME field,high,
us:ashuelot,us:ashuelot,18500101,,RRMMA NAME field,high,
us:atlanta_and_west_point,us:atlanta_and_west_point,18500101,,RRMMA NAME field,high,
us:atlantic_and_great_western,us:atlantic_and_great_western,18610101,,RRMMA NAME field,high,
us:atlantic_and_north_carolina,us:atlantic_and_north_carolina,18610101,,RRMMA NAME field,high,
us:baltimore_and_ohio,us:baltimore_and_ohio,18400101,,RRMMA NAME field,high,
us:bangor_old_town_and_milford,us:bangor_old_town_and_milford,18550101,,RRMMA NAME field,high,
us:barclay,us:barclay,18610101,,RRMMA NAME field,high,
us:baton_rouge_grosse_tete_and_opelousas,us:baton_rouge_grosse_tete_and_opelousas,18700101,,RRMMA NAME field,high,
