stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,location_accuracy,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
us:n00001,"Node (42.627,-71.306)",42.626985,-71.306435,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00002,"Node (42.547,-71.175)",42.546998,-71.175347,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00003,"Node (42.532,-71.157)",42.532212,-71.157471,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00004,"Node (42.454,-71.137)",42.45371,-71.1372,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00005,"Node (42.375,-71.083)",42.37481,-71.0831,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00006,"Node (42.374,-71.072)",42.373708,-71.072304,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00007,"Node (42.378,-71.078)",42.377809,-71.077599,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00008,"Node (42.370,-71.067)",42.369508,-71.066598,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00009,"Node (42.817,-71.114)",42.817374,-71.114304,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00010,"Node (42.375,-71.080)",42.374608,-71.080399,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00011,"Node (42.375,-71.086)",42.37531,-71.086098,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00012,"Node (42.352,-71.114)",42.351609,-71.114403,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00013,"Node (42.347,-71.076)",42.347409,-71.075799,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00014,"Node (42.342,-71.256)",42.342309,-71.255898,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00015,"Node (42.285,-71.348)",42.28531,-71.348099,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00016,"Node (42.277,-71.415)",42.277211,-71.415398,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00017,"Node (42.277,-71.418)",42.276712,-71.417504,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00018,"Node (42.241,-71.709)",42.241307,-71.709107,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00019,"Node (42.260,-71.797)",42.26011,-71.797402,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
us:n00020,"Node (42.337,-71.060)",42.33661,-71.060204,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
