from_stop_id,to_stop_id,route_id,date_opened,date_closed,evidence,line_name
ITHS00002,ITHS00384,,,,current_only,
ITHS00002,ITHS01988,,,,current_only,
ITHS00003,ITHS03145,ferrovia_mortara_milano,18540101,,dated_line,ferrovia Mortara-Milano
ITHS00004,ITHS01013,,,,current_only,
ITHS00004,ITHS03202,,,,current_only,
ITHS00005,ITHS00276,,,,current_only,
ITHS00007,ITHS00550,ferrovia_roma_cassino_napoli,18420101,,dated_line,ferrovia Roma-Cassino-Napoli
ITHS00007,ITHS00643,ferrovia_roma_cassino_napoli,18420101,,dated_line,ferrovia Roma-Cassino-Napoli
ITHS00009,ITHS00568,,,,current_only,
ITHS00010,ITHS00568,,,,current_only,
ITHS00010,ITHS00625,,,,current_only,
ITHS00019,ITHS01243,,,,current_only,
ITHS00022,ITHS02832,ferrovia_alessandria_san_giuseppe_di_cairo,18580101,,dated_line,ferrovia Alessandria-San Giuseppe di Cairo
ITHS00029,ITHS02096,,,,current_only,
ITHS00036,ITHS00772,,,,current_only,
ITHS00036,ITHS00783,,,,current_only,
ITHS00037,ITHS01824,,,,current_only,
ITHS00037,ITHS02662,ferrovia_airasca_saluzzo,18840101,19860101,dated_line,ferrovia Airasca-Saluzzo
ITHS00040,ITHS00202,,,,current_only,
ITHS00041,ITHS01506,,,,current_only,
ITHS00042,ITHS02251,,,,current_only,
ITHS00043,ITHS00055,,,,current_only,
ITHS00045,ITHS00794,ferrovia_civitanova_marche_fabriano,18840101,,dated_line,ferrovia Civitanova Marche-Fabriano
ITHS00045,ITHS01052,ferrovia_civitanova_marche_fabriano,18660101,,dated_line,ferrovia Civitanova Marche-Fabriano
ITHS00048,ITHS03012,,,,current_only,
ITHS00049,ITHS00766,,,,current_only,
ITHS00056,ITHS01292,,,,current_only,
ITHS00056,ITHS02856,,,,current_only,
ITHS00062,ITHS00761,ferrovia_gallarate_varese,18650101,,dated_line,ferrovia Gallarate-Varese
ITHS00063,ITHS00367,,,,current_only,
ITHS00063,ITHS01754,ferrovia_novara_alessandria,18540101,,dated_line,ferrovia Novara-Alessandria
ITHS00066,ITHS00477,,,,current_only,
ITHS00066,ITHS00703,,,,current_only,
ITHS00067,ITHS00476,,,,current_only,
ITHS00067,ITHS02858,,,,current_only,
ITHS00068,ITHS00573,,,,current_only,
ITHS00068,ITHS01167,,,,current_only,
ITHS00068,ITHS02765,,,,current_only,
ITHS00068,ITHS02809,,,,current_only,
ITHS00068,ITHS03064,,,,current_only,
ITHS00071,ITHS01255,ferrovia_ferrara_rimini,18830101,,dated_line,ferrovia Ferrara-Rimini
ITHS00071,ITHS03212,ferrovia_ferrara_rimini,18830101,,dated_line,ferrovia Ferrara-Rimini
ITHS00081,ITHS02656,,,,current_only,
ITHS00083,ITHS00693,,,,current_only,
ITHS00084,ITHS01696,,,,current_only,
ITHS00084,ITHS02170,,,,current_only,
ITHS00091,ITHS02144,ferrovia_lecco_brescia,18630101,,dated_line,ferrovia Lecco-Brescia
ITHS00097,ITHS03079,,,,current_only,
ITHS00103,ITHS01932,,,,current_only,
ITHS00103,ITHS02658,,,,current_only,
ITHS00104,ITHS00804,,,,current_only,
ITHS00104,ITHS00974,,,,current_only,
ITHS00112,ITHS00445,,,,current_only,
ITHS00112,ITHS02232,,,,current_only,
ITHS00114,ITHS01799,,,,current_only,
ITHS00121,ITHS02110,,,,current_only,
ITHS00121,ITHS02503,,,,current_only,
ITHS00127,ITHS00909,,,,current_only,
ITHS00127,ITHS00910,,,,current_only,
ITHS00130,ITHS02742,,,,current_only,
ITHS00136,ITHS00332,ferrovia_varese_porto_ceresio,18940101,20090101,dated_line,ferrovia Varese-Porto Ceresio
