route_id,agency_id,valid_from,valid_to,region,source,confidence
ferrovia_airasca_saluzzo,UNKNOWN_PRE1885,18840101,18850101,MAIN,rule,low
ferrovia_airasca_saluzzo,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_airasca_saluzzo,FS,19050101,19860101,MAIN,rule,high
ferrovia_alessandria_piacenza,UNKNOWN_PRE1885,18580101,18850101,MAIN,rule,low
ferrovia_alessandria_piacenza,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_alessandria_piacenza,FS,19050101,,MAIN,rule,high
ferrovia_alessandria_san_giuseppe_di_cairo,UNKNOWN_PRE1885,18580101,18850101,MAIN,rule,low
ferrovia_alessandria_san_giuseppe_di_cairo,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_alessandria_san_giuseppe_di_cairo,FS,19050101,,MAIN,rule,high
ferrovia_avezzano_roccasecca,UNKNOWN_PRE1885,18840101,18850101,MAIN,rule,low
ferrovia_avezzano_roccasecca,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_avezzano_roccasecca,FS,19050101,,MAIN,rule,high
ferrovia_bassano_padova,UNKNOWN_PRE1885,18770101,18850101,MAIN,rule,low
ferrovia_bassano_padova,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_bassano_padova,FS,19050101,,MAIN,rule,high
ferrovia_bologna_ancona,UNKNOWN_PRE1885,18610101,18850101,MAIN,rule,low
ferrovia_bologna_ancona,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_bologna_ancona,FS,19050101,,MAIN,rule,high
ferrovia_bologna_firenze,FS,19050101,,MAIN,rule,high
ferrovia_brescia_cremona,UNKNOWN_PRE1885,18630101,18850101,MAIN,rule,low
ferrovia_brescia_cremona,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_brescia_cremona,FS,19050101,,MAIN,rule,high
ferrovia_brescia_parma,UNKNOWN_PRE1885,18840101,18850101,MAIN,rule,low
ferrovia_brescia_parma,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_brescia_parma,FS,19050101,,MAIN,rule,high
ferrovia_cagliari_golfo_aranci,SARD_OP,18710101,19200101,SARD,rule,low
ferrovia_cagliari_golfo_aranci,FS,19200101,,SARD,rule,high
ferrovia_casarsa_portogruaro,UNKNOWN_RM_RA,18880101,19050101,MAIN,rule,low
ferrovia_casarsa_portogruaro,FS,19050101,,MAIN,rule,high
ferrovia_castelbolognese_ravenna,UNKNOWN_PRE1885,18630101,18850101,MAIN,rule,low
ferrovia_castelbolognese_ravenna,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_castelbolognese_ravenna,FS,19050101,,MAIN,rule,high
ferrovia_chiasso_milano,UNKNOWN_PRE1885,18400101,18850101,MAIN,rule,low
ferrovia_chiasso_milano,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_chiasso_milano,FS,19050101,,MAIN,rule,high
ferrovia_chivasso_alessandria,UNKNOWN_PRE1885,18570101,18850101,MAIN,rule,low
ferrovia_chivasso_alessandria,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_chivasso_alessandria,FS,19050101,,MAIN,rule,high
ferrovia_civitanova_marche_fabriano,UNKNOWN_PRE1885,18660101,18850101,MAIN,rule,low
ferrovia_civitanova_marche_fabriano,UNKNOWN_RM_RA,18850101,19050101,MAIN,rule,low
ferrovia_civitanova_marche_fabriano,FS,19050101,,MAIN,rule,high
ferrovia_colico_chiavenna,UNKNOWN_RM_RA,18860101,19050101,MAIN,rule,low
ferrovia_colico_chiavenna,FS,19050101,,MAIN,rule,high
ferrovia_como_lecco,UNKNOWN_RM_RA,18880101,19050101,MAIN,rule,low
