route_id,agency_id,route_short_name,route_long_name,route_type,date_opened,date_closed
ferrovia_airasca_saluzzo,FS,,ferrovia Airasca-Saluzzo,2,18840101,19860101
ferrovia_alessandria_piacenza,FS,,ferrovia Alessandria-Piacenza,2,18580101,
ferrovia_alessandria_san_giuseppe_di_cairo,FS,,ferrovia Alessandria-San Giuseppe di Cairo,2,18580101,
ferrovia_avezzano_roccasecca,FS,,ferrovia Avezzano-Roccasecca,2,18840101,
ferrovia_bassano_padova,FS,,ferrovia Bassano-Padova,2,18770101,
ferrovia_bologna_ancona,FS,,ferrovia Bologna-Ancona,2,18610101,
ferrovia_bologna_firenze,FS,,ferrovia Bologna-Firenze,2,19340101,
ferrovia_brescia_cremona,FS,,ferrovia Brescia-Cremona,2,18630101,
ferrovia_brescia_parma,FS,,ferrovia Brescia-Parma,2,18840101,
ferrovia_cagliari_golfo_aranci,,,ferrovia Cagliari-Golfo Aranci,2,18710101,
ferrovia_casarsa_portogruaro,FS,,ferrovia Casarsa-Portogruaro,2,18880101,
ferrovia_castelbolognese_ravenna,FS,,ferrovia Castelbolognese-Ravenna,2,18630101,
ferrovia_chiasso_milano,FS,,ferrovia Chiasso-Milano,2,18400101,
ferrovia_chivasso_alessandria,FS,,ferrovia Chivasso-Alessandria,2,18570101,
ferrovia_civitanova_marche_fabriano,FS,,ferrovia Civitanova Marche-Fabriano,2,18660101,
ferrovia_colico_chiavenna,FS,,ferrovia Colico-Chiavenna,2,18860101,
ferrovia_como_lecco,FS,,ferrovia Como-Lecco,2,18880101,
ferrovia_del_brennero,FS,,ferrovia del Brennero,2,18590101,
ferrovia_domodossola_milano,FS,,ferrovia Domodossola-Milano,2,18600101,
ferrovia_domodossola_novara,FS,,ferrovia Domodossola-Novara,2,18640101,
ferrovia_faenza_lavezzola,FS,,ferrovia Faenza-Lavezzola,2,18880101,
ferrovia_faenza_ravenna,FS,,ferrovia Faenza-Ravenna,2,19210101,
ferrovia_ferrara_rimini,FS,,ferrovia Ferrara-Rimini,2,18830101,
ferrovia_fidenza_fornovo,FS,,ferrovia Fidenza-Fornovo,2,19070101,
ferrovia_firenze_roma,FS,,ferrovia Firenze-Roma,2,18660101,
