stop_id,stop_name,stop_lat,stop_lon,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
ITHS00001,Abano,45.355199,11.811533,18760101,,18760101,open_by_1876,
ITHS00002,Abbasanta,40.128801,8.817733,18850101,18770101,18850101,window_1877_1885,
ITHS00003,Abbiategrasso,45.400631,8.921305,18760101,,18760101,open_by_1876,
ITHS00004,Acate (Biscari),36.996592,14.42545,18990101,18860101,18990101,window_1886_1899,
ITHS00005,Acciano,42.175994,13.711345,18760101,,18760101,open_by_1876,
ITHS00006,Acerenza,40.7921210,15.9365680,19020101,19020101,19020101,exact,
ITHS00007,Acerra,40.939066,14.372243,18760101,,18760101,open_by_1876,
ITHS00008,Aciano,42.175994,13.711345,18850101,18770101,18850101,window_1877_1885,
ITHS00009,Acicastello,37.5568665,15.1408160,18760101,,18760101,open_by_1876,
ITHS00010,Acireale,37.600514,15.163697,18760101,,18760101,open_by_1876,
ITHS00011,Acqua dei Corsari,38.0916111,13.4306847,19100101,19100101,19100101,exact,
ITHS00012,Acqualagna,43.6258843,12.6759738,18990101,18860101,18990101,window_1886_1899,
ITHS00013,Acquanegra,45.9074738,8.6147254,18760101,,18760101,open_by_1876,
ITHS00014,Acquapendente,42.7439961,11.8649880,19140101,19140101,19140101,exact,
ITHS00015,Acquappesa,39.48648,15.955992,18990101,18860101,18990101,window_1886_1899,
ITHS00016,Acquasparta,42.703760097817,12.540770468382,19100101,19100101,19100101,exact,
ITHS00018,Acquaviva,43.1142673,11.8639999,18760101,,18760101,open_by_1876,
ITHS00019,Acquaviva delle Fonti,40.892806,16.839826,18850101,18770101,18850101,window_1877_1885,
ITHS00020,Acquaviva Platani,37.5719991,13.7028911,18850101,18770101,18850101,window_1877_1885,
ITHS00022,Acqui,44.67407,8.474482,18760101,,18760101,open_by_1876,
ITHS00023,Acqui terme,44.67407,8.474482,19310101,19150101,19310101,window_1915_1931,
ITHS00025,Adria,45.06058,12.054228,18850101,18770101,18850101,window_1877_1885,
ITHS00026,Affi,45.5586903,10.7767991,18990101,18860101,18990101,window_1886_1899,
ITHS00027,Affori(Milano),45.5213005,9.1673995,18990101,18860101,18990101,window_1886_1899,
ITHS00028,Agira,37.6561510,14.5215750,18760101,,18760101,open_by_1876,
ITHS00029,Agliana-Montale,43.9128778,11.0084102,19020101,19020101,19020101,exact,
ITHS00031,Agnone,41.8095612,14.3770463,18760101,,18760101,open_by_1876,
ITHS00032,Agosta,45.73407,7.322424,18990101,18770101,18990101,window_1877_1899,
ITHS00033,Agrigento Centrale,37.309051,13.584412,19310101,19150101,19310101,window_1915_1931,
ITHS00034,Agropoli,40.3469050,14.9965530,18850101,18770101,18850101,window_1877_1885,
ITHS00035,Agropoli Castellabate,40.351521,15.002053,19310101,19150101,19310101,window_1915_1931,
ITHS00036,Aielli,42.061963889742,13.581576979393,18990101,18860101,18990101,window_1886_1899,
ITHS00037,Airasca,44.928093,7.483536,18760101,,18760101,open_by_1876,
ITHS00038,Airuno,45.754086,9.422066,18850101,18770101,18850101,window_1877_1885,
ITHS00040,Ala,45.760087,10.996775,18760101,,18760101,open_by_1876,
ITHS00041,Alanno,42.287185,14.019595,18760101,,18760101,open_by_1876,
ITHS00042,Alano Fener-Valdobbadiene,45.90229,11.944546,18990101,18860101,18990101,window_1886_1899,
ITHS00043,Alassio,44.007889,8.17112,18760101,,18760101,open_by_1876,
ITHS00044,Alba,44.697713,8.030629,18760101,,18760101,open_by_1876,
ITHS00045,Albacina,43.345686,12.986501,18760101,,18760101,open_by_1876,
ITHS00046,Albanella,40.4784224,15.1166081,18850101,18770101,18850101,window_1877_1885,
ITHS00047,Albano,44.4963925,7.7198804,18760101,,18760101,open_by_1876,
ITHS00048,Albano di Lucania,40.574707,16.021247,18850101,18770101,18850101,window_1877_1885,
ITHS00049,Albano Laziale,41.72632,12.658056,18990101,18860101,18990101,window_1886_1899,
ITHS00050,Albarè,44.6899327,10.9665756,18990101,18860101,18990101,window_1886_1899,
ITHS00051,Albaredo,45.670265,12.015104,18760101,,18760101,open_by_1876,
ITHS00052,Albate Camerlata,45.7768540,9.0730979,18990101,18860101,18990101,window_1886_1899,
ITHS00053,Albate Trecallo,45.777391,9.095752,18990101,18860101,18990101,window_1886_1899,
ITHS00055,Albenga,44.04722,8.221663,18760101,,18760101,open_by_1876,
ITHS00056,Alberese,42.634158,11.1352,18990101,18860101,18990101,window_1886_1899,
ITHS00057,Alberobello,0.0,4.5112561156128,19030101,19030101,19030101,exact,
ITHS00059,Albino,45.7606610,9.7969489,18760101,,18760101,open_by_1876,
ITHS00060,Albissola,44.33469,8.512092,18760101,,18760101,open_by_1876,
ITHS00062,Albizzate,45.7239432,8.8031311,18760101,,18760101,open_by_1876,
ITHS00063,Albonese,45.297785,8.714601,19140101,19140101,19140101,exact,
ITHS00064,Albuzzano,45.172504,9.261624,18990101,18860101,18990101,window_1886_1899,
ITHS00066,Alcamo Diramazione,37.978894,12.915916,19310101,19150101,19310101,window_1915_1931,
ITHS00067,Alcantara,37.82145,15.251158,18990101,18860101,18990101,window_1886_1899,
ITHS00068,Alessandria,44.909091,8.606498,18760101,,18760101,open_by_1876,
ITHS00069,Alezio,0.0,4.5112561156128,18990101,18860101,18990101,window_1886_1899,
ITHS00070,Alfadena Scontrone,41.738222,14.044662,18990101,18860101,18990101,window_1886_1899,
ITHS00071,Alfonsine,44.512364,12.039155,18990101,18860101,18990101,window_1886_1899,
ITHS00072,Alghero,40.5587291,8.3153206,18990101,18860101,18990101,window_1886_1899,
ITHS00073,Alì,38.013952,15.435184,18760101,,18760101,open_by_1876,
ITHS00074,Ali,38.013952,15.435184,18850101,18770101,18850101,window_1877_1885,
ITHS00075,Alice Belcolle,44.722636,8.440076,18990101,18860101,18990101,window_1886_1899,
ITHS00077,Allerona,42.8120330,11.9730530,18850101,18770101,18850101,window_1877_1885,
ITHS00078,Alpignano,45.091077,7.523745,18760101,,18760101,open_by_1876,
ITHS00079,Alseno,44.8969352,9.9653168,18760101,,18760101,open_by_1876,
ITHS00080,Altamura,40.837666,16.551739,18990101,18860101,18990101,window_1886_1899,
ITHS00081,Altare,44.336169,8.332753,19000101,19000101,19000101,exact,
ITHS00082,Altavilla,39.3331586,16.3127324,18760101,,18760101,open_by_1876,
ITHS00083,Altavilla Milicia,38.048392,13.554421,18850101,18770101,18850101,window_1877_1885,
ITHS00084,Altopascio,43.817418,10.672754,18760101,,18760101,open_by_1876,
ITHS00085,Alviano,42.591917,12.259583,18760101,,18760101,open_by_1876,
ITHS00087,Alzo,45.7926889,8.3787612,18990101,18860101,18990101,window_1886_1899,
ITHS00088,Amandola,42.9971421,13.3541827,19090101,19090101,19090101,exact,
ITHS00089,Amantea,39.134353,16.068448,18990101,18860101,18990101,window_1886_1899,
ITHS00090,Amaro,46.3740306,13.0953599,19100101,19100101,19100101,exact,
ITHS00091,Ambivere-Mapello,45.722163,9.550444,19020101,19020101,19020101,exact,
ITHS00092,Ambria,45.8075745,9.6816763,19070101,19070101,19070101,exact,
ITHS00093,Amendolara,39.9524383,16.5822838,18760101,,18760101,open_by_1876,
ITHS00094,Amendolea,41.518025,15.732569,18760101,,18760101,open_by_1876,
ITHS00095,Amorosi,41.2029177,14.4616360,18760101,,18760101,open_by_1876,
ITHS00096,Anagni,41.7447015,13.1526343,18760101,,18760101,open_by_1876,
ITHS00097,Ancona,43.607734,13.497665,18760101,,18760101,open_by_1876,
ITHS00098,Andora,43.961799283719,8.1274611204309,18850101,18770101,18850101,window_1877_1885,
ITHS00100,Anela,40.4417600,9.0574270,18990101,18860101,18990101,window_1886_1899,
ITHS00101,Anghiari,43.5409662,12.0545815,18990101,18860101,18990101,window_1886_1899,
ITHS00103,Angri,40.746404,14.575366,18760101,,18760101,open_by_1876,
ITHS00104,Anguillara,42.068133,12.304978,18990101,18860101,18990101,window_1886_1899,
ITHS00105,Annone,45.8030930,9.3307832,18760101,,18760101,open_by_1876,
ITHS00108,Antignano,43.492482,10.328827,18990101,18860101,18990101,window_1886_1899,
ITHS00110,Antrodoco Borgo Velino,42.415393,13.076193,18850101,18770101,18850101,window_1877_1885,
ITHS00111,Anulù,39.8509838,9.3773198,19110101,19110101,19110101,exact,
ITHS00112,Anversa-Scanno,42.0174028,13.8357271,18990101,18860101,18990101,window_1886_1899,
ITHS00113,Anzano,45.9856969,12.3305805,18990101,18860101,18990101,window_1886_1899,
ITHS00114,Anzio,41.4532,12.633205,18850101,18770101,18850101,window_1877_1885,
ITHS00115,Anzola,44.5466843,11.1933259,18760101,,18760101,open_by_1876,
ITHS00116,Anzola dell'Emilia,44.542245701088,11.195379444623,18850101,18770101,18850101,window_1877_1885,
ITHS00117,Aosta,45.73407,7.322424,18990101,18860101,18990101,window_1886_1899,
ITHS00118,Apice,41.1184185,14.9313689,18760101,,18760101,open_by_1876,
ITHS00121,Apricena,41.77664,15.387809,18760101,,18760101,open_by_1876,
ITHS00122,Aquila,42.3489203,13.3979672,18760101,,18760101,open_by_1876,
ITHS00123,Aquileia,45.7696144,13.3697982,19110101,19110101,19110101,exact,
ITHS00124,Aquino,41.4911190,13.7047100,18760101,,18760101,open_by_1876,
ITHS00125,Aradeo,40.1309220,18.1296250,19140101,19140101,19140101,exact,
ITHS00126,Aragona,37.4031989,13.6179477,18850101,18770101,18850101,window_1877_1885,
ITHS00127,Aragona Caldare,37.381097,13.636837,18990101,18860101,18990101,window_1886_1899,
ITHS00129,Arbatax,39.9360947,9.7070731,19090101,19090101,19090101,exact,
ITHS00130,Arbia,43.294393,11.406225,18760101,,18760101,open_by_1876,
ITHS00131,Arbizzano,45.4936058,10.9392096,19050101,19050101,19050101,exact,
ITHS00132,Arborio,45.4921222,8.3739137,18990101,18770101,18990101,window_1877_1899,
ITHS00133,Arce,41.583695,13.571848,18990101,18860101,18990101,window_1886_1899,
ITHS00134,Arcene,45.577162,9.606652,18990101,18860101,18990101,window_1886_1899,
ITHS00135,Archi Reggio,38.1507065,15.6589903,18850101,18770101,18850101,window_1877_1885,
ITHS00136,Arcisate Brenno,45.8585535,8.8631473,18990101,18860101,18990101,window_1886_1899,
ITHS00137,Arco,45.9318708,10.9171966,18990101,18860101,18990101,window_1886_1899,
ITHS00138,Arco Felice,40.8328497,14.1015092,18990101,18860101,18990101,window_1886_1899,
ITHS00139,Arcola,44.118651,9.914649,18760101,,18760101,open_by_1876,
ITHS00140,Arcore,45.623493,9.322798,18760101,,18760101,open_by_1876,
ITHS00141,Ardara,40.632139,8.818996,18760101,,18760101,open_by_1876,
ITHS00142,Ardenno,46.1715712,9.6519439,18850101,18770101,18850101,window_1877_1885,
ITHS00144,Ardore,38.175698,16.207311,18760101,,18760101,open_by_1876,
ITHS00145,Arena Po,45.082065,9.360394,18760101,,18760101,open_by_1876,
ITHS00146,Arenzano,44.403089,8.678322,18760101,,18760101,open_by_1876,
ITHS00147,Arezzo,43.461725,11.874189,18760101,,18760101,open_by_1876,
ITHS00148,Argenta,44.616867,11.841267,18850101,18770101,18850101,window_1877_1885,
ITHS00149,Ariano,40.6572110,15.0230500,18760101,,18760101,open_by_1876,
ITHS00150,Ariano Irpino,41.181883,15.117508,19310101,19150101,19310101,window_1915_1931,
ITHS00151,Arma di taggia,43.8310037,7.8490829,19140101,19140101,19140101,exact,
ITHS00152,Armedola,45.6017674,11.6596853,18760101,,18760101,open_by_1876,
ITHS00154,Arona,45.755392,8.559075,18760101,,18760101,open_by_1876,
ITHS00155,Arosio,45.718372348914,9.2102687398483,18990101,18860101,18990101,window_1886_1899,
ITHS00156,Arpaia-Airola-Sant'Agata,41.0399031,14.5548047,18990101,18860101,18990101,window_1886_1899,
ITHS00157,Arpaise-Ceppaloni,41.0615225,14.7061252,19120101,19120101,19120101,exact,
ITHS00158,Arpino,41.648296,13.59959,18990101,18860101,18990101,window_1886_1899,
ITHS00159,Arqua,45.006465,11.748518,18850101,18770101,18850101,window_1877_1885,
ITHS00160,ArquÃ,45.006465,11.748518,18760101,,18760101,open_by_1876,
ITHS00161,Arquata del Tronto,42.7723609,13.2965826,18990101,18860101,18990101,window_1886_1899,
